Y9O,12-13,34,204,6.0,11-12,14,10,0.71,Total,2.7
A4B,12-13,25,195,7.8,11-12,33,520,15.76,Total,7.6
H17,12-13,0,0,0,11-12,0,0,0,Total,0
H04,12-13,0,0,0,11-12,0,0,0,Total,0
BGL,12-13,0,0,0,11-12,0,0,0,Total,0
H27,12-13,0,0,0,11-12,0,0,0,Total,0
Y3V,12-13,29,182,6.28,11-12,3,1,0.33,Total,5.1
B9K,12-13,34,249,7.32,11-12,34,290,8.53,Total,6.6
17U,12-13,0,0,0,11-12,0,0,0,Total,0
A78,12-13,20,209,10.45,11-12,26,110,4.23,Total,5.9
BBW,12-13,29,169,5.83,11-12,34,210,6.18,Total,6
140,12-13,10,53,5.3,11-12,21,167,7.95,Total,6.9
137,12-13,34,207,6.09,11-12,32,238,7.44,Total,6.6
Y7G,12-13,34,227,6.68,11-12,34,78,2.29,Total,3.3
252,12-13,0,0,0,11-12,0,0,0,Total,0
BB2,12-13,34,221,6.5,11-12,34,268,7.88,Total,5.7
118,12-13,0,0,0,11-12,0,0,0,Total,0
A9K,12-13,33,255,7.73,11-12,33,195,5.91,Total,6
A9A,12-13,33,157,4.76,11-12,32,253,7.91,Total,5.9
A8Z,12-13,30,101,3.37,11-12,30,97,3.23,Total,2.5
Y8C,12-13,13,18,1.38,11-12,34,102,3.0,Total,3.4
222,12-13,0,0,0,11-12,0,0,0,Total,0
BDF,12-13,0,0,0,11-12,0,0,0,Total,0
Y7X,12-13,0,0,0,11-12,0,0,0,Total,0
BLO,12-13,31,97,3.13,11-12,2,-4,-2.0,Total,2.7
SDT,12-13,0,0,0,11-12,0,0,0,Total,0
SHD,12-13,30,59,1.97,11-12,18,49,2.72,Total,2.2
717,12-13,20,56,2.8,11-12,12,9,0.75,Total,2
BLH,12-13,0,0,0,11-12,0,0,0,Total,0
259,12-13,0,0,0,11-12,0,0,0,Total,0
718,12-13,30,61,2.03,11-12,4,4,1.0,Total,1.9
163,12-13,3,2,0.67,11-12,1,-1,-1.0,Total,0.3
H34,12-13,0,0,0,11-12,0,0,0,Total,0
B7N,12-13,0,0,0,11-12,0,0,0,Total,0
UAH,12-13,0,0,0,11-12,0,0,0,Total,0
LDS,12-13,0,0,0,11-12,0,0,0,Total,0
PZR,12-13,0,0,0,11-12,0,0,0,Total,0
BLF,12-13,0,0,0,11-12,0,0,0,Total,0
BLK,12-13,0,0,0,11-12,0,0,0,Total,0
BGK,12-13,33,536,16.24,11-12,34,374,11.0,Total,11.4
BIY,12-13,34,518,15.24,11-12,32,320,10.0,Total,11.7
A4C,12-13,33,467,14.15,11-12,8,77,9.63,Total,13.7
B4G,12-13,21,188,8.95,11-12,34,579,17.03,Total,14.2
BJX,12-13,33,558,16.91,11-12,34,543,15.97,Total,15.5
B2H,12-13,34,618,18.18,11-12,34,324,9.53,Total,7.2
153,12-13,14,190,13.57,11-12,34,426,12.53,Total,12.8
228,12-13,0,0,0,11-12,0,0,0,Total,0
A1O,12-13,30,509,16.97,11-12,32,498,15.56,Total,8.6
H18,12-13,0,0,0,11-12,0,0,0,Total,0
BF4,12-13,0,0,0,11-12,0,0,0,Total,0
A1M,12-13,33,424,12.85,11-12,34,406,11.94,Total,13.9
B1F,12-13,34,361,10.62,11-12,34,224,6.59,Total,7.3
BD8,12-13,33,412,12.48,11-12,33,291,8.82,Total,8.5
BCJ,12-13,0,0,0,11-12,0,0,0,Total,0
B6Q,12-13,33,334,10.12,11-12,28,141,5.04,Total,9.3
B9L,12-13,0,0,0,11-12,0,0,0,Total,0
B5L,12-13,0,0,0,11-12,0,0,0,Total,0
Y1K,12-13,19,174,9.16,11-12,34,306,9.0,Total,6.9
BBH,12-13,0,0,0,11-12,0,0,0,Total,0
BIH,12-13,32,353,11.03,11-12,24,270,11.25,Total,10.6
Y49,12-13,28,364,13.0,11-12,31,303,9.77,Total,9.4
H36,12-13,0,0,0,11-12,0,0,0,Total,0
BBJ,12-13,34,322,9.47,11-12,33,357,10.82,Total,10.3
H13,12-13,0,0,0,11-12,0,0,0,Total,0
B9P,12-13,33,290,8.79,11-12,24,123,5.13,Total,6.5
H24,12-13,0,0,0,11-12,0,0,0,Total,0
