id;posicion;nac;id_acb;nombre;equipo;precio;equipo2
94;ALER;;H04;Vrkic, Zoran;BBB;421.858;BB
95;ALER;;BGL;Kelati, Thomas;LBO;417.300;LBO
96;ALER;;H27;Mejeris, Mareks;FUE;408.536;FUE
97;ALER;nacional;Y3V;Tomàs, Pere;CAI;399.655;CAI
98;ALER;nacional;B9K;Urtasun, Txemi;UNI;396.405;UNI
99;ALER;;17U;Paunic, Ivan;FUE;396.287;FUE
100;ALER;nacional;A78;Montañez, Román;FUE;392.685;FUE
101;ALER;;BBW;Stefansson, Jon;CAI;384.853;CAI
102;ALER;extra;140;Darden, Tremmell;RMB;375.925;RM
103;ALER;;137;Dewar, Benjamin;RNM;363.938;RNM
104;ALER;nacional;Y7G;Hernández, Alex;BXA;342.091;BXA
105;ALER;;252;Dragic, Zoran;UNI;336.570;UNI
106;ALER;nacional;BB2;Beirán, Javier;HGC;333.046;HGC
107;ALER;nacional;118;Eriksson, Marcus;BXA;320.711;BXA
108;ALER;nacional;A9K;Grimau, Jordi;UCM;309.825;UCAM
109;ALER;nacional;A9A;Miso, Andrés;EST;287.500;EST
110;ALER;nacional;A8Z;Cortaberría, Jon;GBC;277.949;GBC
111;ALER;nacional;Y8C;Jelínek, David;LBO;249.403;LBO
112;ALER;;222;Pilepic, Fran;BBB;233.132;BB
113;ALER;nacional;BDF;Suka-Umu, Marcos;VAL;225.555;VAL
114;ALER;nacional;Y7X;Martínez, Iván;VAL;218.506;VAL
115;ALER;nacional;BLO;Díez, Daniel;RMB;203.626;RM
116;ALER;nacional;SDT;Vicedo, Edgar;EST;201.746;EST
117;ALER;nacional;SHD;Abrines, Álex;FCB;201.590;FCB
118;ALER;nacional;717;Barrera, Alex;JOV;200.650;FIATC
119;ALER;nacional;BLH;Burjanadze, Beka;CAJ;194.541;CAJ
120;ALER;nacional;259;Porzingis, K.;CAJ;187.336;CAJ
121;ALER;nacional;718;Ventura, Albert;JOV;180.585;FIATC
122;ALER;nacional;163;Motos, Mikel;GBC;171.046;GBC
123;ALER;;H34;Moungoro, Boubacar;FUE;158.515;FUE
124;ALER;nacional;B7N;Cruz, Añaterve;HGC;155.421;HGC
125;ALER;;UAH;Hezonja, Mario;FCB;151.192;FCB
126;ALER;nacional;LDS;Heras, Jaime;CAN;123.155;CAN
127;ALER;nacional;PZR;Sánchez, Sergio;BBB;118.416;BB
128;ALER;nacional;BLF;López, Millán;VAL;116.302;VAL
129;ALER;nacional;BLK;Sarmiento, Arturo;VAL;116.302;VAL
130;PIVO;nacional;BGK;Mirotic, Nikola;RMB;1.112.111;RM
131;PIVO;;BIY;Tomic, Ante;FCB;1.044.389;FCB
132;PIVO;;A4C;Nocioni, Andrés;LBO;1.024.062;LBO
133;PIVO;extra;B4G;Panko, Andy;FUE;983.513;FUE
134;PIVO;extra;BJX;Doellman, Justin;VBC;959.822;VBC
135;PIVO;nacional;B2H;Martín, Nacho;HGC;888.122;HGC
136;PIVO;extra;153;Williams, Latavious;CAJ;843.011;CAJ
137;PIVO;extra;228;Hamilton, Lamont;LBO;838.899;LBO
138;PIVO;nacional;A1O;Gabriel, Germán;BBB;828.914;BB
139;PIVO;;H18;Shermadini, Giorgi;CAI;807.451;CAI
140;PIVO;;BF4;Caner-Medley, Nik;UNI;789.818;UNI
141;PIVO;nacional;A1M;Reyes, Felipe;RMB;767.513;RM
142;PIVO;nacional;B1F;Doblas, David;GBC;744.762;GBC
143;PIVO;;BD8;Sekulic, Blagota;CAN;723.714;CAN
144;PIVO;;BCJ;Sanikidze, Viktor;CAI;710.498;CAI
145;PIVO;;B6Q;Hervelle, Axel;BBB;706.797;BB
146;PIVO;;B9L;Banic, Marko;EST;698.907;EST
147;PIVO;nacional;B5L;Antelo, José Ángel;UCM;677.291;UCAM
148;PIVO;nacional;Y1K;Rey, Xavi;HGC;666.092;HGC
149;PIVO;;BBH;Bourousis, Ioannis;RMB;657.868;RM
150;PIVO;;BIH;Báez, Eulis;HGC;651.290;HGC
151;PIVO;nacional;Y49;Aguilar, Pablo;VBC;649.958;VBC
152;PIVO;extra;H36;Shurna, John;JOV;644.946;FIATC
153;PIVO;;BBJ;Lorbek, Erazem;FCB;643.536;FCB
154;PIVO;extra;H13;Muscala, Mike;RNM;622.430;RNM
155;PIVO;nacional;B9P;Sinanovic, Nedzad;VAL;620.276;VAL
156;PIVO;extra;H24;Monroe, Darryl;BXA;620.041;BXA
157;PIVO;nacional;A9S;Vázquez, Fran;UNI;613.305;UNI
158;PIVO;;B89;Gutiérrez, Juan;CAN;604.906;CAN
159;PIVO;;H08;Delas, Mario;RNM;585.816;RNM
160;PIVO;nacional;A3V;Miralles, Albert;JOV;573.285;FIATC
161;PIVO;nacional;B0R;Lampe, Maciej;FCB;571.429;FCB
162;PIVO;;217;Dubljevic, Bojan;VBC;569.091;VBC
163;PIVO;;H12;Nachbar, Bostjan;FCB;558.248;FCB
164;PIVO;extra;H40;Carmichael, Jackie;BBB;555.076;BB
165;PIVO;extra;H35;Minnerath, Nick;RNM;552.864;RNM
166;PIVO;;BCX;Ivanov, Dejan;EST;547.597;EST
167;PIVO;extra;H14;Sikma, Luke;CAN;540.431;CAN
168;PIVO;;227;Tillie, Kim;UCM;525.981;UCAM
169;PIVO;;258;O'Leary, Ian;HGC;518.071;HGC
170;PIVO;;B98;Lampropoulos, Fotios;CAN;507.107;CAN
171;PIVO;;H06;Kavaliauskas, A.;BBB;499.569;BB
172;PIVO;;215;Ramsdell, Charles;GBC;494.607;GBC
173;PIVO;;219;Pleiss, Tibor;LBO;491.247;LBO
174;PIVO;;720;Nogueira, Lucas;EST;489.955;EST
175;PIVO;;BE1;Asselin, Josh;BXA;477.503;BXA
176;PIVO;nacional;B3A;Mainoldi, Leo;LBO;468.574;LBO
177;PIVO;extra;H44;Smith, Taylor;FUE;468.340;FUE
178;PIVO;;10C;Hanley, Will;GBC;448.995;GBC
179;PIVO;nacional;B00;Arteaga, Oliver;BXA;441.868;BXA
180;PIVO;;Y3B;Hettsheimeir, R.;UNI;435.297;UNI
181;PIVO;;H28;Ben Romdhane, Makram;UCM;425.108;UCAM
182;PIVO;extra;266;Jones, Joseph;CAI;413.717;CAI
183;PIVO;nacional;BB8;Clark, Daniel;LBO;410.381;LBO
184;PIVO;;BHY;Lishchuk, Serhiy;VBC;408.113;VBC
185;PIVO;;H46;Johnson, Omari;VAL;405.300;VAL
186;PIVO;extra;167;Dorsey, Joey;FCB;403.179;FCB
187;PIVO;nacional;B3M;Savané, Sitapha;JOV;401.300;FIATC
188;PIVO;;748;Lima, Augusto;UCM;389.082;UCAM
189;PIVO;;H46;Haritopoulos, D.;VAL;370.000;VAL
190;PIVO;;246;Mejri, Salah;RMB;368.093;RM
191;PIVO;nacional;AXI;Junyent, Oriol;RNM;351.490;RNM
192;PIVO;nacional;Y7O;Llovet, Nacho;JOV;351.137;FIATC
193;PIVO;nacional;BCC;Triguero, Juan J.;VBC;347.652;VBC
194;PIVO;;H20;Orupke, Ehimen;UCM;338.646;UCAM
195;PIVO;;BLE;Balvin, Ondrej;CAJ;317.030;CAJ
196;PIVO;extra;BJU;Slaughter, Marcus;RMB;305.439;RM
197;PIVO;;H05;Huskic, Goran;GBC;299.330;GBC
198;PIVO;;H37;Stimac, Vladimir;UNI;261.777;UNI
199;PIVO;nacional;BLI;Suárez, Alejandro;JOV;257.978;FIATC
200;PIVO;nacional;Y1J;Samb, Mamadou;BBB;244.234;BB
201;PIVO;nacional;SFP;Hernangómez, G.;CAJ;223.362;CAJ
202;PIVO;nacional;B6L;Fontet, Albert;CAI;210.929;CAI
203;PIVO;nacional;Y7M;Laso, Adrián;FUE;205.349;FUE
204;PIVO;nacional;765;Todorovic, M.;FCB;197.713;FCB
205;PIVO;nacional;BA6;Vega, Javier;FUE;188.056;FUE
206;PIVO;nacional;XC5;Sabonis, Domas;UNI;179.504;UNI
207;PIVO;nacional;T86;Olaizola, Julen;GBC;174.609;GBC
208;PIVO;nacional;800;Diop, Ilimane;LBO;166.268;LBO
209;PIVO;nacional;82D;Guerra, Fran;EST;165.720;EST
210;PIVO;;SHP;Tavares, Walter;HGC;162.822;HGC
211;PIVO;nacional;A05;Chagoyen, Jesús;CAN;141.410;CAN
212;PIVO;nacional;FII;Stobart, Micky;RNM;124.486;RNM
213;PIVO;;236;Larsen, Rasmus;BXA;121.157;BXA
214;PIVO;nacional;17T;Diagne, Moussa;FUE;115284;FUE
